apk_filename,package_name,version_name,apk_sha256,source,origin_dataset,scenario,case_id,label,label_source,origin_label,note,split
scenario_a_case0.apk,com.toyapk.scenario_a.case0,1.0,,toy,,A,0.0,0,manual,,對照組：只宣告 INTERNET，無危險權限,train
scenario_a_case1.apk,com.toyapk.scenario_a.case1,1.0,,toy,,A,1.0,1,manual,,宣告 READ_SMS + INTERNET（短訊 App 過度宣告）,train
scenario_a_case2.apk,com.toyapk.scenario_a.case2,1.0,,toy,,A,2.0,1,manual,,宣告 READ_CONTACTS + CAMERA + INTERNET（計算機 App 過度宣告）,val
scenario_a_case3.apk,com.toyapk.scenario_a.case3,1.0,,toy,,A,3.0,1,manual,,宣告 ACCESS_FINE_LOCATION（靜態 App，沒有地圖功能）,test
scenario_a_case4.apk,com.toyapk.scenario_a.case4,1.0,,toy,,A,4.0,1,manual,,宣告 RECORD_AUDIO + READ_CALL_LOG（過度宣告）,train
scenario_a_case5.apk,com.toyapk.scenario_a.case5,1.0,,toy,,A,5.0,0,manual,,宣告 READ_CONTACTS 但 Activity 有 permission 保護（邊界案例）,train
scenario_b_case0.apk,com.toyapk.scenario_b.case0,1.0,,toy,,B,0.0,0,manual,,對照組：Service exported=false,train
scenario_b_case1.apk,com.toyapk.scenario_b.case1,1.0,,toy,,B,1.0,1,manual,,Service exported=true 無 permission,train
scenario_b_case2.apk,com.toyapk.scenario_b.case2,1.0,,toy,,B,2.0,0,manual,,Service exported=true 有 signature permission 保護,val
scenario_b_case3.apk,com.toyapk.scenario_b.case3,1.0,,toy,,B,3.0,1,manual,,兩個 Service：ProtectedService 有保護；UnprotectedService 無保護（exported）→ rule engine 對 UnprotectedService 觸發 IPC_SERVICE_HIJACK,train
scenario_b_case4.apk,com.toyapk.scenario_b.case4,1.0,,toy,,B,4.0,1,manual,,Service exported=true 有 intent-filter 無 permission,train
scenario_b_case5.apk,com.toyapk.scenario_b.case5,1.0,,toy,,B,5.0,1,manual,,兩個 Service 皆 exported 有 intent-filter 無 permission,train
scenario_c_case0.apk,com.toyapk.scenario_c.case0,1.0,,toy,,C,0.0,0,manual,,對照組：持有READ_SMS但所有Activity exported=false,test
scenario_c_case1.apk,com.toyapk.scenario_c.case1,1.0,,toy,,C,1.0,1,manual,,典型Confused Deputy：READ_SMS+exported Activity無保護,train
scenario_c_case2.apk,com.toyapk.scenario_c.case2,1.0,,toy,,C,2.0,1,manual,,相機權限委派：CAMERA+exported Activity無保護,train
scenario_c_case3.apk,com.toyapk.scenario_c.case3,1.0,,toy,,C,3.0,0,manual,,正確保護：READ_CONTACTS，MainActivity與ContactsActivity皆有permission保護,train
scenario_c_case4.apk,com.toyapk.scenario_c.case4,1.0,,toy,,C,4.0,1,manual,,高嚴重度：READ_SMS+READ_CALL_LOG+多個exported Activity無保護,train
scenario_c_case5.apk,com.toyapk.scenario_c.case5,1.0,,toy,,C,5.0,0,manual,,邊界案例：只有INTERNET（非危險權限）不觸發規則,test
scenario_d_case0.apk,com.toyapk.scenario_d.case0,1.0,,toy,,D,0.0,0,manual,,對照組：自訂action且exported=false,val
scenario_d_case1.apk,com.toyapk.scenario_d.case1,1.0,,toy,,D,1.0,1,manual,,短訊廣播竊取：SMS_RECEIVED無permission保護,test
scenario_d_case2.apk,com.toyapk.scenario_d.case2,1.0,,toy,,D,2.0,1,manual,,開機廣播竊取：BOOT_COMPLETED無permission保護,train
scenario_d_case3.apk,com.toyapk.scenario_d.case3,1.0,,toy,,D,3.0,0,manual,,正確保護：SMS_RECEIVED有BROADCAST_SMS permission,train
scenario_d_case4.apk,com.toyapk.scenario_d.case4,1.0,,toy,,D,4.0,0,manual,,邊界案例：自訂非敏感action不觸發規則,train
scenario_d_case5.apk,com.toyapk.scenario_d.case5,1.0,,toy,,D,5.0,1,manual,,混合案例：一個敏感Receiver有保護一個無保護,train
scenario_e_case0.apk,com.toyapk.scenario_e.case0,1.0,,toy,,E,0.0,0,manual,,對照組：Provider exported=false,train
scenario_e_case1.apk,com.toyapk.scenario_e.case1,1.0,,toy,,E,1.0,1,manual,,完全裸露：exported=true無readPermission/writePermission,train
scenario_e_case2.apk,com.toyapk.scenario_e.case2,1.0,,toy,,E,2.0,0,manual,,完整保護：readPermission+writePermission皆設定（原設計僅設readPermission與E-3衝突，已修正）,train
scenario_e_case3.apk,com.toyapk.scenario_e.case3,1.0,,toy,,E,3.0,1,manual,,部分保護：有readPermission但無writePermission,train
scenario_e_case4.apk,com.toyapk.scenario_e.case4,1.0,,toy,,E,4.0,1,manual,,混合案例：一個完整保護一個完全裸露,train
scenario_e_case5.apk,com.toyapk.scenario_e.case5,1.0,,toy,,E,5.0,1,manual,,URI授權誤用：readPermission+writePermission皆保護，但grantUriPermissions=true可繞過（IPC_PROVIDER_URI_GRANT_BYPASS）,train
0c98cca2cf961dcdf277ce6ceef9053149ae89e45d770ee6f381b88cc634c352.apk,com.adobe.flashplayer,2.2,0c98cca2cf961dcdf277ce6ceef9053149ae89e45d770ee6f381b88cc634c352,real_world,maldroid2020,,,1,rule_weak_label,banking,"risk_score=100; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,OVER_PRIVILEGE,COMBO_SMS_EXFIL,COMBO_AUDIO_EXFIL,COMBO_CONTACT_EXFIL,IPC_BROADCAST_THEFT_FW,IPC_BROADCAST_THEFT_SS,IPC_CONFUSED_DEPUTY",train
27a17b0300d1bea18d4126dfa7dfc680cd0e21f52d0a965fc29a6ed942ba62f9.apk,ppxfbcx.pinmx.rjrvcculype,4.2,27a17b0300d1bea18d4126dfa7dfc680cd0e21f52d0a965fc29a6ed942ba62f9,real_world,maldroid2020,,,1,rule_weak_label,banking,"risk_score=99; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,OVER_PRIVILEGE,COMBO_SMS_EXFIL,COMBO_CONTACT_EXFIL,IPC_BROADCAST_THEFT_AUTORUN,IPC_CONFUSED_DEPUTY",train
2eaafd0ae8273916fd6a54d111426298286f733481a44a70d24908d904b0fae0.apk,com.sandroid.letsfixthat,1.2,2eaafd0ae8273916fd6a54d111426298286f733481a44a70d24908d904b0fae0,real_world,maldroid2020,,,1,rule_weak_label,banking,"risk_score=91; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,COMBO_LOCATION_EXFIL,IPC_CONFUSED_DEPUTY",val
327203deb7e02e724b5e19edb09513986adbae48c181b997dd834328017c257b.apk,org.android.system,1.0,402ad4cc0b4b5152821a333b8f25ece0faf9ae623f58311f0399a5ed2eafaea0,real_world,maldroid2020,,,1,rule_weak_label,banking,"risk_score=95; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_RECEIVER,COMBO_SMS_EXFIL,IPC_BROADCAST_THEFT_SMSRECEIVER",test
3e6d5238097d21e363f77be4179bc0b715648827e1a97909b700b0781a30195b.apk,kk.android,1.0,3e6d5238097d21e363f77be4179bc0b715648827e1a97909b700b0781a30195b,real_world,maldroid2020,,,1,rule_weak_label,banking,"risk_score=92; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,COMBO_CONTACT_EXFIL,IPC_CONFUSED_DEPUTY",train
6491d3977f04eb325b809a2db7319d1e24868f15574d8e0aaa7e19e338741968.apk,com.shoushou88.zhezhe99,1.1,6491d3977f04eb325b809a2db7319d1e24868f15574d8e0aaa7e19e338741968,real_world,maldroid2020,,,1,rule_weak_label,banking,"risk_score=99; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,COMBO_CONTACT_EXFIL,IPC_BROADCAST_THEFT_SMSRECEIVER,IPC_BROADCAST_THEFT_BOOTBROADCASTRECEIVER,IPC_CONFUSED_DEPUTY",val
6f9e25664d00ab801ee61a5d53ab4d7406ec03ad364447fe5c8f5a087e56a00f.apk,tibaqi.rimhavtcfuzh.rungdiadnoj,4.2,6f9e25664d00ab801ee61a5d53ab4d7406ec03ad364447fe5c8f5a087e56a00f,real_world,maldroid2020,,,1,rule_weak_label,banking,"risk_score=99; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,OVER_PRIVILEGE,COMBO_SMS_EXFIL,COMBO_CONTACT_EXFIL,IPC_BROADCAST_THEFT_AUTORUN,IPC_CONFUSED_DEPUTY",val
7bdcd4332342b9a5825b0ea8455d00b9f29fb581e85e4e2bd87afae9680245b4.apk,com.android.systemsetting,1.0,366e875f346853401f95100dcf517d7d5794dd5b7a484012f781dbf21c75b172,real_world,maldroid2020,,,1,rule_weak_label,banking,"risk_score=99; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,COMBO_SMS_EXFIL,IPC_BROADCAST_THEFT_BOOTRECEIVER,IPC_BROADCAST_THEFT_SMSRECEIVER,IPC_CONFUSED_DEPUTY",train
bdb3e2d5ddde08358dcac54a77295da665fa9a876115443702057014b0c1d996.apk,com.google.beasefirst,15.32.98,bdb3e2d5ddde08358dcac54a77295da665fa9a876115443702057014b0c1d996,real_world,maldroid2020,,,1,rule_weak_label,banking,"risk_score=95; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,IPC_BROADCAST_THEFT_SMSRECEIVER,IPC_BROADCAST_THEFT_YOURRECEIVER,IPC_CONFUSED_DEPUTY",test
f7b3d05ecfe5b6907f3ac07e0ecc08e3febed75c509303aa602b944d11bf4852.apk,org.android.system,1.0,2e546e8f50dad8d7d8f02423cb18519407a171cd679d7e258ca142109ed0288f,real_world,maldroid2020,,,1,rule_weak_label,banking,"risk_score=95; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_RECEIVER,COMBO_SMS_EXFIL,IPC_BROADCAST_THEFT_SMSRECEIVER",test
091aa7e88a7c8cbaeb0eba4fbb48536441d9dcad23f8f10f3c3385367718510c.apk,com.in22labs.companypattern,1.2.1,091aa7e88a7c8cbaeb0eba4fbb48536441d9dcad23f8f10f3c3385367718510c,real_world,maldroid2020,,,1,rule_weak_label,benign,risk_score=57; risk_level=Medium; triggered=EXPORTED_UNPROTECTED_ACTIVITY,train
190ad12dad2f28d09ab3f98f79d8be691bdbe2bda046e4ed59d79d33f0fa0ade.apk,com.hdgames.superbrosadventures,1.3,190ad12dad2f28d09ab3f98f79d8be691bdbe2bda046e4ed59d79d33f0fa0ade,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=87; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,IPC_CONFUSED_DEPUTY,IPC_PROVIDER_REDELEGATION",test
1cff59a580d8ee12cfe11b854326fea4d0777b4128b31c315dac7c78e47982b4.apk,com.sonos.acr,7.1,1cff59a580d8ee12cfe11b854326fea4d0777b4128b31c315dac7c78e47982b4,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=95; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,IPC_SERVICE_HIJACK,IPC_CONFUSED_DEPUTY",train
